--- expected (31 rows) ---
1986|0.0|669700.0|-59152.40391229367
1987|2500.0|-672667.0|17582.422349295288
1988|0.0|212667.0|18441.61121334805
1989|0.0|426667.0|53152.004652169184
1990|37500.0|433333.0|5650.612773081462
1991|0.0|600000.0|382987.4998122563
1992|9000.0|2300000.0|152559.38191223796
1993|-109000.0|100000.0|-70554.01702623465
1994|50000.0|100000.0|72622.00090816384
1995|59000.0|2937500.0|-84609.48591823992
1996|0.0|0.0|62930.21704834385
1997|-59000.0|762500.0|190778.1521583883
1998|120000.0|4936667.0|62157.11687699729
1999|-170000.0|-2986873.0|204472.28878632002
2000|200000.0|3764492.0|507667.7228637743
2001|0.0|6285714.0|286856.4898575719
2002|0.0|0.0|112685.56012150226
2003|-34426.0|0.0|180946.32625542767
2004|134426.0|500000.0|-81696.84331169585
2005|0.0|3500000.0|142054.69915764127
2006|27000.0|-4319273.0|200690.0960271177
2007|53000.0|1747844.0|106914.95166604314
2008|10000.0|4571429.0|195081.28630652418
2009|10000.0|5000000.0|141129.84123932384
2010|0.0|0.0|1099.8462114138529
2011|14000.0|-1000000.0|40091.423804874066
2012|66000.0|-2000000.0|139582.96787505317
2013|0.0|-1000000.0|264923.13639310095
2014|20000.0|-3000000.0|257101.56059085438
2015|7000.0|6571000.0|320830.1802821588
2016|500.0|429000.0|95133.50950421952

--- your output (1 rows) ---
NULL|NULL|NULL|NULL
